Chapter Name,Author,Date,Text,Replies
AESTHETICS,CrazyBookWeirdo,6 days ago,Phew,Reply
AESTHETICS,keeglove17,Feb 23,Best soundtrack ever!,Reply
AESTHETICS,klairdalune,Feb 22,You definitely have a VERY good taste ♪,Reply
AESTHETICS,spicygarbage,Feb 10,NBHD,Reply
AESTHETICS,nicenavs,Feb 04,Wow these are such detailed names,Reply
AESTHETICS,Luciaq08,Jan 25,Love it👏🏻👏🏻,Reply
AESTHETICS,Mandytofly1,Jan 01,Ummmmm hmmmm I’ll go with the Fire 🔥🤣,Reply
AESTHETICS,Mandytofly1,Jan 01,Hmmmm liking it,Reply
AESTHETICS,Mandytofly1,Jan 01,Hmmm,Reply
AESTHETICS,Mandytofly1,Jan 01,GOLD OO YES,Reply
AESTHETICS,Mandytofly1,Jan 01,I love it so far,Reply
AESTHETICS,Mandytofly1,Jan 01,PURPLE 😱,Reply
AESTHETICS,Mandytofly1,Jan 01,Oooo,Reply
AESTHETICS,Mandytofly1,Jan 01,Omg 😱,Reply
AESTHETICS,Mandytofly1,Jan 01,Sick!😍,Reply
AESTHETICS,Mandytofly1,Jan 01,The Lion (G.O.T) 🤣,Reply
AESTHETICS,Mandytofly1,Jan 01,Okie- if we get a house with animals or greenery I’m down,Reply
AESTHETICS,Mandytofly1,Jan 01,FIRE 🔥,Reply
AESTHETICS,Mandytofly1,Jan 01,Okie I gotta be in dis house,Reply
AESTHETICS,Mandytofly1,Jan 01,Ummmm ok..?,Reply
AESTHETICS,Mandytofly1,Jan 01,Ooo,Reply
AESTHETICS,Mandytofly1,Jan 01,Where can I find dis?,Reply
AESTHETICS,Mandytofly1,Jan 01,"CASTLE, HAUNTING, GASOLINE, HEAVEN IN HIDING- MOST OF THESE ARE ALREADY IN MY PLAYLIST 🤣🤣🤣",Reply
AESTHETICS,Mandytofly1,Jan 01,Too late- always a black background 🤣,Reply
AESTHETICS,Eminagot77,"Dec 13, 2019",I think this is where I belong,Reply
AESTHETICS,1105daphne,"Nov 27, 2019",*actually,Reply
AESTHETICS,1105daphne,"Nov 27, 2019",This actaully matches the most,Reply
