Chapter,Author,Date,Text Replies                                                
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,PERFECT                                                 
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,LETS DO THIS!!!                                                 
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,Awwww! 💜💜💜                                                 
CROWN OF GLASS,xofeistiex,Mar-01,I ALREADY FELL IN LOVEEEE                                                 
CROWN OF GLASS,klairdalune,Feb-22,"Yeah  I'm in love"                                                 
CROWN OF GLASS,klairdalune,Feb-22,oh my                                                 
CROWN OF GLASS,klairdalune,Feb-22,art                                                 
CROWN OF GLASS,klairdalune,Feb-22,absolutely.                                                 
CROWN OF GLASS,klairdalune,Feb-22,"hell  this is getting better!"                                                 
CROWN OF GLASS,klairdalune,Feb-22,😊                                                 
CROWN OF GLASS,klairdalune,Feb-22,oh                                                 
CROWN OF GLASS,klairdalune,Feb-22,"Bathory  is it you?"                                                 
CROWN OF GLASS,klairdalune,Feb-22,💖🔥                                                 
CROWN OF GLASS,klairdalune,Feb-22,aww                                                 
CROWN OF GLASS,klairdalune,Feb-22,😂💖                                                 
CROWN OF GLASS,klairdalune,Feb-22,I really felt that                                                 
CROWN OF GLASS,klairdalune,Feb-22,â™¡                                                 
CROWN OF GLASS,klairdalune,Feb-22,I'm really glad you did. This is the most honest thing I've ever read â™"                                                 
CROWN OF GLASS,klairdalune,Feb-22,"Well  I'm in love with your writing and it don't even started ✨ You're so creative ♡"                                                 
CROWN OF GLASS,klairdalune,Feb-22,idk                                                 
CROWN OF GLASS,klairdalune,Feb-22,i still wonder if it actually is                                                 
CROWN OF GLASS,klairdalune,Feb-22,this.                                                 
CROWN OF GLASS,klairdalune,Feb-22,"oh god  this is gonna be exciting"                                                 
CROWN OF GLASS,cosmicjae_,Feb-20,I love black current flavoured things.                                                 
CROWN OF GLASS,lydiasixtensson,Feb-10,aaand we love this even more                                                 
CROWN OF GLASS,lydiasixtensson,Feb-10,we love that                                                 
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb-05,I just started but can I like marry you for your sweet words 😩                                                 
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb-05,❤️❤️❤️                                                 
CROWN OF GLASS,Luciaq08,Jan-25,🖤                                                 
CROWN OF GLASS,cruelladevilxxi,Jan-18,rereading this masterpiece ❤❤                                                 
CROWN OF GLASS,cruelladevilxxi,Jan-18,i dont understand how someone can be this talented                                                 
CROWN OF GLASS,nessababe00,Jan-15, #rr😍                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Wow 🤩                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,So many 😱                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,🥳                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Like Sansa!!!!!                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Yess pls                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Oooo GOT is life ♥️ but FOR NARNIA  🤣and Mortal instruments are kool 😊                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Oo yesss                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Nice                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,I'm ready to dance on theirs 👌🏾                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Bootiful                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Yes so a queen 👑                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Yw 🤣                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Awwww                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Lol                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,Me                                                 
CROWN OF GLASS,Mandytofly1,Jan-01,I'm down to cry                                                 
CROWN OF GLASS,shibangibanerjee,Jan-01,Narnia ❤❤❤❤❤❤                                                 
CROWN OF GLASS,snowyknife,Dec 24 2019,"aw  hunni  me too! 💞"                                                 
CROWN OF GLASS,Nona_Hujan,Dec 22 2019,"And with only the first page  i swoon"                                                 
CROWN OF GLASS,Eminagot77,Dec 13 2019,I haven't started reading yet but I love you too🥺🤧💕                                                 
CROWN OF GLASS,Eminagot77,Dec 13 2019,Is there any smut? If you're a #rr let me know                                                 
CROWN OF GLASS,dreamypapers,Dec 06 2019,Omg the cover of the book...my fav book series ever. If anyone was wondering it's the main character from Shadow and Bone                                                 
