Chapter Name,Author,Date,Text,Replies
ACT 0 | ORPHIC,jacksangel,Mar 12,...I am confusion I think somethings missing,Reply
ACT 0 | ORPHIC,knelysian,Mar 12,Girl if this become sum Romeo and Juliet,Reply
ACT 0 | ORPHIC,sarcastic-human,Mar 11,Let’s go!,Reply
ACT 0 | ORPHIC,PRXSLEYS,Mar 01,Yes Queen!!,Reply
ACT 0 | ORPHIC,PRXSLEYS,Mar 01, #Re-reader   can’t wait to read this again and cry :))  Sunday 1 March 10:56,Reply
ACT 0 | ORPHIC,xofeistiex,Mar 01,LETS GET STARTED AHDBSHJA,Reply
ACT 0 | ORPHIC,xofeistiex,Mar 01,DAAAMN,Reply
ACT 0 | ORPHIC,xofeistiex,Mar 01,THE PLAY WORDS HIT ME HARD,Reply
ACT 0 | ORPHIC,xofeistiex,Mar 01,THIS IS STRAIGHT BEAUTIFUL,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,i’m loving this so much,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,tbh,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,oh gosh...,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,:0,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,i love this concept so much,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,UM OKAY,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,ohhhhhhhhh,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,i’m invested in this already,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,This comment may be offensive. wild shit man,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,i think lmao i’ll wait and see what happens,Reply
ACT 0 | ORPHIC,stoneflesh,Feb 09,protect him,Reply
ACT 0 | ORPHIC,Luciaq08,Jan 26,OMG this is just the beginning and I LOVE IT.... the feels of this?,1 Reply
ACT 0 | ORPHIC,overunderwoods,Jan 02,good god im loving the play on words here. Like after all the people who die who's left?,1 Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,IM READY ♥️🤣😍🥳😆😊👑,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Well true,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Yeah that’s what war basically is,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Wow 🤯,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Kool,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Well ReVeNgE 🤩🔥,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Oh shît,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Haha I love a good queen 👑,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Well damn,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Oh this is gonna be tough to remember,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,I’m pretty sure I can remember those two,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Aw ♥️😍,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Wow 🤩,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,We Love a queen,Reply
ACT 0 | ORPHIC,Mandytofly1,Jan 01,Soooo Like GOT but there are 7 houses who want the throne and the north in the corner chilling and being independent af,Reply
ACT 0 | ORPHIC,Liantra,"Dec 29, 2019",Hell...,Reply
ACT 0 | ORPHIC,reading1996,"Dec 02, 2019",So excited to read the next chapter and I have a feeling this book is going to be epic.,Reply
ACT 0 | ORPHIC,_wnadeena,"Nov 18, 2019",queens >>> kings,Reply
ACT 0 | ORPHIC,roxinawayne,"Oct 27, 2019",So is everyone in this story like.. Goddesses orrr,Reply
ACT 0 | ORPHIC,yugendreams,"Oct 23, 2019",Great writing and wonderful direct narration. Hooked!,2 Replies
ACT 0 | ORPHIC,Lordovsarcazm,"Oct 15, 2019",Hehehehehehehehehehehhehehehehehehehheheheheheheheheh that's funny,Reply
ACT 0 | ORPHIC,henotic,"Oct 10, 2019",Minos as a river,Reply
ACT 0 | ORPHIC,henotic,"Oct 10, 2019",Percy Jackson's book of Olympian Gods,Reply
ACT 0 | ORPHIC,maheentwopointoh,"Oct 05, 2019","so, true",Reply
ACT 0 | ORPHIC,rlybad,"Oct 01, 2019","boom, facts",Reply
ACT 0 | ORPHIC,rlybad,"Oct 01, 2019",oops,Reply
ACT 0 | ORPHIC,rlybad,"Oct 01, 2019",true!,Reply
ACT 0 | ORPHIC,brittae_13,"Sep 30, 2019","Now that I've read this already, everything makes sense",2 Replies
ACT 0 | ORPHIC,brittae_13,"Sep 29, 2019",Second time reading let's goooo,1 Reply
ACT 0 | ORPHIC,voidzia,"Sep 22, 2019",It makes so much sense who this is now 🤦🏾‍♀️,6 Replies
ACT 0 | ORPHIC,MerciMeyo,"Sep 10, 2019",Awwww,Reply
ACT 0 | ORPHIC,JasminRhymes,"Aug 25, 2019","OoOooOh, nevermind",1 Reply
ACT 0 | ORPHIC,JasminRhymes,"Aug 25, 2019","I don't get it, I'm slow😂I'm always that one bitch",Reply
ACT 0 | ORPHIC,JasminRhymes,"Aug 25, 2019",Reminds me of Hera and Zeus❤️,1 Reply
ACT 0 | ORPHIC,JasminRhymes,"Aug 25, 2019",This comment may be offensive. I'm a child. Shit still makes me laugh 😂😂😂,Reply
ACT 0 | ORPHIC,cosmic_dream,"Aug 24, 2019",So👏darn👏 accurate.,Reply
ACT 0 | ORPHIC,HEROTYTY13,"Aug 22, 2019",All sorts of mythology,Reply
ACT 0 | ORPHIC,unhingedbeauty,"Aug 11, 2019",Awww <3,Reply
ACT 0 | ORPHIC,unhingedbeauty,"Aug 11, 2019",Wowowowowowww.,Reply
ACT 0 | ORPHIC,unhingedbeauty,"Aug 11, 2019",...but such a beautiful line <3.,Reply
ACT 0 | ORPHIC,unhingedbeauty,"Aug 11, 2019",Omg I need to play this,Reply
ACT 0 | ORPHIC,-sunflowerperks,"Aug 09, 2019","this is like Kronos, except he kinda... well.. swallowed his children hole instead",2 Replies
ACT 0 | ORPHIC,fresabella,"Aug 08, 2019",Oh damn👌🏼,Reply
ACT 0 | ORPHIC,steamednoodlesss,"Aug 03, 2019",trueeee,Reply
ACT 0 | ORPHIC,steamednoodlesss,"Aug 03, 2019",damn,Reply
ACT 0 | ORPHIC,steamednoodlesss,"Aug 03, 2019",^,Reply
ACT 0 | ORPHIC,steamednoodlesss,"Aug 03, 2019",kinda like Kronos...i see the similarities now😂,Reply
ACT 0 | ORPHIC,steamednoodlesss,"Aug 03, 2019",i had a feeling i already read some this book....and i know for sure because of this part,Reply
ACT 0 | ORPHIC,luxiferase,"Jul 27, 2019",Agreed,Reply
ACT 0 | ORPHIC,-,"Jul 27, 2019",this is so interesting & intriguing!,3 Replies
ACT 0 | ORPHIC,1-800-jezus,"Jul 27, 2019",Aren’t they siblings...,6 Replies
ACT 0 | ORPHIC,1-800-jezus,"Jul 27, 2019",Cosmo killed my anus-,2 Replies
ACT 0 | ORPHIC,1-800-jezus,"Jul 27, 2019",Pffffttt UrAnUs I SWEAR I ain’t 12,2 Replies
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",AMAZING,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",Everything about this is just gorgeous,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",THESE LINES THO. THEY ARE GOLD,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",👏👏👏true,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",Woah,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",Awww,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",Oof,Reply
ACT 0 | ORPHIC,moonandstarsishy,"Jul 24, 2019",This is stunning,Reply
ACT 0 | ORPHIC,-,"Jul 21, 2019",THIS IS THE DOPEST INTRODUCTION I HAVE EVER READ ♥️♥️ *cough* now I shall binge read,1 Reply
ACT 0 | ORPHIC,-,"Jul 21, 2019",i love this line.,Reply
ACT 0 | ORPHIC,-,"Jul 21, 2019","after reading the first comment in this thread, I must say that you are very VERY intelligent. props to you ♥️",1 Reply
ACT 0 | ORPHIC,bitteur,"Jul 18, 2019",I HAVE CHILLS AND I’M EXCITED,1 Reply
ACT 0 | ORPHIC,bitteur,"Jul 18, 2019",Damn,Reply
ACT 0 | ORPHIC,bitteur,"Jul 18, 2019",This is phrased perfectly 👏🏼,Reply
ACT 0 | ORPHIC,therealbbh,"Jul 11, 2019",Why did I think of fairy god parents when I heard cosmo 😂,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",I LOVE THIS,1 Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",OH MY GODS,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",I AM SHOOKETH 😶❤,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",Aw,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",It reminds me of Endovier 😭,2 Replies
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",TRUE,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",OHHHH 😭💗,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",dun Dun DUNNNN,1 Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",Love this,Reply
ACT 0 | ORPHIC,Agatha-TheNobody,"Jun 25, 2019",This is just wow but the more I think about it the more it's confusing for me,Reply
ACT 0 | ORPHIC,BookGirl_xoxo,"Jun 20, 2019",This is such a good way to explain the history behind the gods and the houses.,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",this has gotten me far too hype 😂,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019","technically, yes historically, the winners write the story and are considered 'right'",1 Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",this could not be anymore accurate,Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019","im trying my hardest NOT to think of the percy jackson saga, but it's just dinging so many memories in the back of my mind",Reply
ACT 0 | ORPHIC,seatrails,"Jun 14, 2019",yeesh,Reply
