,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
0,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,blue_eye56,2020-11-09,"the family tree is just like one branch
",the family tree is just like one branch ,0.0,0.737,0.263,0.3612
1,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,blue_eye56,2020-11-09,"I'm already hooked
",i'm already hooked ,0.0,1.0,0.0,0.0
2,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,laurabear14,2020-10-05,"this family tree is a straight line💀
",this family tree is a straight line skull  ,0.0,0.759,0.241,0.2263
3,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,NoVel_Heart_Beat,2020-10-05,"WHY IS NO ONE TALKING ABOUT THE QUOTE THAT IS SO BEAUTIFUL😍💙
",why is no one talking about the quote that is so beautiful smiling face with heart-eyes  blue heart  ,0.106,0.544,0.349,0.8272
4,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,zuzypiia,2020-10-02,"Demeter is basically a yandere but mom version 👀
",demeter is basically a yandere but mom version  eyes  ,0.0,1.0,0.0,0.0
5,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-fairytones-,2020-09-16,"LANAA
",lanaa ,0.0,1.0,0.0,0.0
6,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-fairytones-,2020-09-16,"what a hooker💀💀
",what a hooker skull  skull  ,0.0,1.0,0.0,0.0
7,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Goldensoul101,2020-09-13,"I love her!🥺❤️
",i love her! pleading face  red heart selector  ,0.0,0.572,0.428,0.6696
8,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,chocolateaddict17,2020-09-13,"Halsey 💕
",halsey  two hearts  ,0.0,1.0,0.0,0.0
9,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,bloodymadd,2020-09-12,"Go away
",go away ,0.0,1.0,0.0,0.0
