Chapter,Author,Date,Text,Replies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,PERFECT,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,LETS DO THIS!!!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,Awwww! ðŸ’œðŸ’œðŸ’œ,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,xofeistiex,Mar-01,I ALREADY FELL IN LOVEEEE,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,"Yeah, I'm in love",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,oh my,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,art,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,absolutely.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,"hell, this is getting better!",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,ðŸ˜Š,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,oh,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,"Bathory, is it you?",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,ðŸ’–ðŸ”¥,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,aww,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,ðŸ˜‚ðŸ’–,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,I really felt that,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,â™¡,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,I'm really glad you did. This is the most honest thing I've ever read â™”,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,"Well, I'm in love with your writing and it don't even started âœ¨ You're so creative â™¡",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,idk,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,i still wonder if it actually is,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,this.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,klairdalune,Feb-22,"oh god, this is gonna be exciting",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,cosmicjae_,Feb-20,I love black current flavoured things.,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,lydiasixtensson,Feb-10,aaand we love this even more,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,lydiasixtensson,Feb-10,we love that,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb-05,I just started but can I like marry you for your sweet words ðŸ˜©,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb-05,â¤ï¸â¤ï¸â¤ï¸,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Luciaq08,Jan-25,ðŸ–¤,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,cruelladevilxxi,Jan-18,rereading this masterpiece â¤â¤,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,cruelladevilxxi,Jan-18,i dont understand how someone can be this talented,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,nessababe00,Jan-15, #rrðŸ˜,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Wow ðŸ¤©,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,So many ðŸ˜±,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,ðŸ¥³,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Like Sansa!!!!!,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Yess pls,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Oooo GOT is life â™¥ï¸ but FOR NARNIA  ðŸ¤£and Mortal instruments are kool ðŸ˜Š,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Oo yesss,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Nice,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Iâ€™m ready to dance on theirs ðŸ‘ŒðŸ¾,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Bootiful,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Yes so a queen ðŸ‘‘,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Yw ðŸ¤£,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Awwww,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Lol,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Me,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Mandytofly1,Jan-01,Iâ€™m down to cry,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,shibangibanerjee,Jan-01,Narnia â¤â¤â¤â¤â¤â¤,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,snowyknife,Dec 24 2019,"aw, hunni, me too! ðŸ’ž",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Nona_Hujan,Dec 22 2019,"And with only the first page, i swoon",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Eminagot77,Dec 13 2019,I havenâ€™t started reading yet but I love you tooðŸ¥ºðŸ¤§ðŸ’•,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Eminagot77,Dec 13 2019,Is there any smut? If youâ€™re a #rr let me know,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,dreamypapers,Dec 06 2019,Omg the cover of the book...my fav book series ever. If anyone was wondering itâ€™s the main character from Shadow and Bone,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,aureatee,Dec 04 2019,whew,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,aureatee,Dec 04 2019,yess,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,AshleyConnley,Dec 02 2019,MORTAL INSTRUMENTS BABYYYYYTT,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,Natania_Kereen,Dec 01 2019,"This comment may be offensive. I'm like, shook. How the fuck can someone come up with this shit?",Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,1105daphne,Nov 25 2019,Ahhh we've found a keeper,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,TheBatmanWhoLaughs,Nov 22 2019, #rr,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,avenging_angel_148,Nov 20 2019,Yasssss,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWN OF GLASS,_wnadeena,Nov 18 2019,all of them are my favsðŸ˜,Reply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
