Chapter Name,Author,Date,Text,Replies
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,PERFECT,Reply
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,LETS DO THIS!!!,Reply
CROWN OF GLASS,CrazyBookWeirdo,5 days ago,Awwww! 💜💜💜,Reply
CROWN OF GLASS,xofeistiex,Mar 01,I ALREADY FELL IN LOVEEEE,Reply
CROWN OF GLASS,klairdalune,Feb 22,"Yeah, I'm in love",Reply
CROWN OF GLASS,klairdalune,Feb 22,oh my,Reply
CROWN OF GLASS,klairdalune,Feb 22,art,Reply
CROWN OF GLASS,klairdalune,Feb 22,absolutely.,Reply
CROWN OF GLASS,klairdalune,Feb 22,"hell, this is getting better!",Reply
CROWN OF GLASS,klairdalune,Feb 22,😊,Reply
CROWN OF GLASS,klairdalune,Feb 22,oh,Reply
CROWN OF GLASS,klairdalune,Feb 22,"Bathory, is it you?",Reply
CROWN OF GLASS,klairdalune,Feb 22,💖🔥,Reply
CROWN OF GLASS,klairdalune,Feb 22,aww,Reply
CROWN OF GLASS,klairdalune,Feb 22,😂💖,Reply
CROWN OF GLASS,klairdalune,Feb 22,I really felt that,Reply
CROWN OF GLASS,klairdalune,Feb 22,♡,Reply
CROWN OF GLASS,klairdalune,Feb 22,I'm really glad you did. This is the most honest thing I've ever read ♔,Reply
CROWN OF GLASS,klairdalune,Feb 22,"Well, I'm in love with your writing and it don't even started ✨ You're so creative ♡",Reply
CROWN OF GLASS,klairdalune,Feb 22,idk,Reply
CROWN OF GLASS,klairdalune,Feb 22,i still wonder if it actually is,Reply
CROWN OF GLASS,klairdalune,Feb 22,this.,Reply
CROWN OF GLASS,klairdalune,Feb 22,"oh god, this is gonna be exciting",Reply
CROWN OF GLASS,cosmicjae_,Feb 20,I love black current flavoured things.,Reply
CROWN OF GLASS,lydiasixtensson,Feb 10,aaand we love this even more,Reply
CROWN OF GLASS,lydiasixtensson,Feb 10,we love that,Reply
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb 05,I just started but can I like marry you for your sweet words 😩,Reply
CROWN OF GLASS,lilahhhhhhhhhhhhhh,Feb 05,❤️❤️❤️,Reply
CROWN OF GLASS,Luciaq08,Jan 25,🖤,Reply
CROWN OF GLASS,cruelladevilxxi,Jan 18,rereading this masterpiece ❤❤,Reply
CROWN OF GLASS,cruelladevilxxi,Jan 18,i dont understand how someone can be this talented,Reply
CROWN OF GLASS,nessababe00,Jan 15, #rr😍,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Wow 🤩,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,So many 😱,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,🥳,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Like Sansa!!!!!,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Yess pls,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Oooo GOT is life ♥️ but FOR NARNIA  🤣and Mortal instruments are kool 😊,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Oo yesss,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Nice,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,I’m ready to dance on theirs 👌🏾,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Bootiful,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Yes so a queen 👑,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Yw 🤣,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Awwww,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Lol,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,Me,Reply
CROWN OF GLASS,Mandytofly1,Jan 01,I’m down to cry,Reply
CROWN OF GLASS,shibangibanerjee,Jan 01,Narnia ❤❤❤❤❤❤,Reply
CROWN OF GLASS,snowyknife,"Dec 24, 2019","aw, hunni, me too! 💞",Reply
CROWN OF GLASS,Nona_Hujan,"Dec 22, 2019","And with only the first page, i swoon",Reply
CROWN OF GLASS,Eminagot77,"Dec 13, 2019",I haven’t started reading yet but I love you too🥺🤧💕,Reply
CROWN OF GLASS,Eminagot77,"Dec 13, 2019",Is there any smut? If you’re a #rr let me know,Reply
CROWN OF GLASS,dreamypapers,"Dec 06, 2019",Omg the cover of the book...my fav book series ever. If anyone was wondering it’s the main character from Shadow and Bone,Reply
CROWN OF GLASS,aureatee,"Dec 04, 2019",whew,Reply
CROWN OF GLASS,aureatee,"Dec 04, 2019",yess,Reply
CROWN OF GLASS,AshleyConnley,"Dec 02, 2019",MORTAL INSTRUMENTS BABYYYYYTT,Reply
CROWN OF GLASS,Natania_Kereen,"Dec 01, 2019","This comment may be offensive. I'm like, shook. How the fuck can someone come up with this shit?",Reply
CROWN OF GLASS,1105daphne,"Nov 25, 2019",Ahhh we've found a keeper,Reply
CROWN OF GLASS,TheBatmanWhoLaughs,"Nov 22, 2019", #rr,Reply
CROWN OF GLASS,avenging_angel_148,"Nov 20, 2019",Yasssss,Reply
CROWN OF GLASS,_wnadeena,"Nov 18, 2019",all of them are my favs😍,Reply
CROWN OF GLASS,_wnadeena,"Nov 18, 2019",and that's on PERIOD,Reply
CROWN OF GLASS,ReignForeverInDespai,"Nov 16, 2019",Sooooo they're Roman?,Reply
CROWN OF GLASS,blokebusters,"Nov 13, 2019",Alina is in the cover,Reply
CROWN OF GLASS,ninaalvarez37,"Nov 02, 2019",My favorite kind,Reply
CROWN OF GLASS,aizrin_,"Oct 31, 2019",❤,Reply
CROWN OF GLASS,Anonymouswolf22,"Oct 30, 2019","I must say, I did enjoy The Mortal Instruments.",Reply
CROWN OF GLASS,roxinawayne,"Oct 27, 2019",Whys everyone saying rip?,Reply
CROWN OF GLASS,roxinawayne,"Oct 27, 2019",I liked that.,Reply
CROWN OF GLASS,xx_hyacinth_xx,"Oct 20, 2019",Sounds great~,Reply
CROWN OF GLASS,waitthats_lyric,"Oct 18, 2019",And she deserved it 😭😭,Reply
CROWN OF GLASS,aloha568,"Oct 12, 2019",This comment may be offensive. holy fucking shit that's deep......but I love it,Reply
CROWN OF GLASS,BlandWritter,"Oct 11, 2019",@stillmarie is my @ where i'll be posting it.,Reply
CROWN OF GLASS,BlandWritter,"Oct 11, 2019","i'm currently working on a book, i'm still sorting things out and it's a political book similar to game of thrones and reign. I'm still working on the map of my world, and I'm hype for this book.",Reply
CROWN OF GLASS,BlandWritter,"Oct 11, 2019",Rip Queen Margery.,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",damn,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",Awesomeness choices,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",HELL YEAH,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",no.,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",of course,Reply
CROWN OF GLASS,maheentwopointoh,"Oct 05, 2019",good,Reply
CROWN OF GLASS,sisowxth,"Oct 01, 2019",Kinda hot,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",sansa style,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",great inspiration sources!,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",exactly my type,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",it sounds so sarcastic and sassy,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",i love this hahah,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",she deserved better tt,Reply
CROWN OF GLASS,rlybad,"Oct 01, 2019",already intrigued,Reply
CROWN OF GLASS,ihopeimdeadtomorrow,"Oct 01, 2019",DUDE I’ll literally spend 3 hours straight on pinterest and end up with my phone yelling at me to delete something,Reply
CROWN OF GLASS,breathingchemicals,"Sep 29, 2019",I love these aesthetics,1 Reply
CROWN OF GLASS,madclarity,"Sep 25, 2019",tmi omg,Reply
CROWN OF GLASS,BlackCresent1089,"Sep 25, 2019",@ Cersei,Reply
CROWN OF GLASS,BlackCresent1089,"Sep 25, 2019",GAME OF THRONES!!!,Reply
CROWN OF GLASS,AphroditeTheDreamer,"Sep 20, 2019",I'm excited to read what's next,Reply
CROWN OF GLASS,reallyFurry,"Sep 15, 2019",I'm ready for something great 😁,Reply
CROWN OF GLASS,Thanine,"Sep 15, 2019",Yess it makes the story so much better ❤️❤️💕,Reply
CROWN OF GLASS,MerciMeyo,"Sep 10, 2019",👏👏👏,Reply
CROWN OF GLASS,MerciMeyo,"Sep 10, 2019","Now, ain't that the truth",Reply
CROWN OF GLASS,shifaxuddin,"Aug 31, 2019",YESSSS,Reply
CROWN OF GLASS,shifaxuddin,"Aug 31, 2019",awww,Reply
CROWN OF GLASS,shifaxuddin,"Aug 31, 2019",ayyyy,Reply
CROWN OF GLASS,JasminRhymes,"Aug 25, 2019",Less incest I hope,1 Reply
CROWN OF GLASS,JasminRhymes,"Aug 25, 2019",😂,Reply
CROWN OF GLASS,MilejdyVan,"Aug 23, 2019",Hello! 😘 I noticed your story is tagged #wattys2019 so I just stopped by to wish you luck in the Wattys this year 😊 So good luck and have a nice morning/day/evening!,Reply
CROWN OF GLASS,HEROTYTY13,"Aug 22, 2019",LOVELY,Reply
CROWN OF GLASS,HEROTYTY13,"Aug 22, 2019",Sound fun,Reply
CROWN OF GLASS,HEROTYTY13,"Aug 22, 2019",Sounds fun,Reply
CROWN OF GLASS,HEROTYTY13,"Aug 22, 2019",No book ever has made me cry. If u can make my soulless self cry you deserve a prize.        BUT YOU WON'T CUZ I DON'T CRY,Reply
CROWN OF GLASS,HEROTYTY13,"Aug 22, 2019",Yeeeeeeet here we goooo,1 Reply
CROWN OF GLASS,fizzyizzy--,"Aug 20, 2019",YOU KNOW HOW HARD IT IS TO FIND A SLOW BURN SHIP ON THIS DARN WEBSITE I LOVE U,1 Reply
CROWN OF GLASS,fizzyizzy--,"Aug 20, 2019",oh i love,Reply
CROWN OF GLASS,NoraClairer,"Aug 15, 2019",Me?,Reply
CROWN OF GLASS,NoraClairer,"Aug 15, 2019","I wasn’t even sure if I wanted to read this book, but since the author is so sweet, I already LOVE IT",Reply
CROWN OF GLASS,335ABCDm,"Aug 13, 2019",This is the most amazing book I have ever read it's so beautiful,2 Replies
CROWN OF GLASS,crazyappu,"Aug 12, 2019",All three are my favourites,Reply
CROWN OF GLASS,ReneeWar,"Aug 11, 2019",Aw you should totally invite us : D,Reply
CROWN OF GLASS,ReneeWar,"Aug 11, 2019",I feel so appreshAtEd,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019","This has been sitting in my library for some time and I finally got to it - this already is by far more wonderful than I could've imagined <3.  Also love the repetition of ""You end the world in..."". It just brings these descriptions of these people so much more depth and gives a much stronger voice to the text as a whole; it also answers that first question at the beginning of the epigraph in such a unique way. Like damn that was so powerful, reading the epigraph <3.",1 Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019","Ooh I love the ""stops hiding his bloodstained hands"" part aldjskdksk I'm so ready for this!",Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",I am freaking loving this <3,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Wow.,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",Beautiful <3.,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",You're amazing <3,Reply
CROWN OF GLASS,unhingedbeauty,"Aug 11, 2019",YES QUEEN 👑,Reply
