Chapter Name,Author,Date,Text,Replies
ACT I | TROUVAILLE,inkstainsmyhand,"Jul 28, 2019",This is honestly one of the best things I've ever read and I'm not even on the first actual chapter,1 Reply
ACT I | TROUVAILLE,yoorner,"May 27, 2019",ugh the prose is killing me it's so g o r g e o u s,2 Replies
ACT I | TROUVAILLE,GloomySushiRoll,"May 23, 2019",Misread it as travail (aka ‘work’ in french) and was like wtf,2 Replies
ACT I | TROUVAILLE,SamanAdhnan,"Apr 09, 2019","I don't usually ever comment on a book on  wattpad, but this is one of the few which i am loving so far!!!!! great job :D !",Reply
ACT I | TROUVAILLE,amarvelsociety,"Feb 03, 2019",I have never read fantasy on Wattpad and I love this already!!,1 Reply
ACT I | TROUVAILLE,Gsuperb1313,"Jan 20, 2019",The way you've written this...it's like a crafted vision coming to life.,1 Reply
ACT I | TROUVAILLE,vividlycrimson18,"Dec 18, 2018",This gives me a game of thrones vibe and I love it,Reply
ACT I | TROUVAILLE,MahiraJane,"Dec 02, 2018",Ouh le Français,Reply
ACT I | TROUVAILLE,Michael-Sorbello,"Nov 25, 2018",When you stumble upon a box of chocolates.,Reply
ACT I | TROUVAILLE,draconian-meliorism,"Oct 29, 2018",Where can I find chapter banners like these?,2 Replies
ACT I | TROUVAILLE,RAINEyowww,"Oct 17, 2018","well said, wow I really like this kind of story. So interesting!",Reply
ACT I | TROUVAILLE,VolcanicDaisy,"Sep 27, 2018",Uh...what? No. There cannot exist a human who can think like this. Who are you?,Reply
ACT I | TROUVAILLE,_loverose,"Sep 21, 2018",this is intense damn,Reply
ACT I | TROUVAILLE,charmamig,"Aug 31, 2018",I can totally see ur a fan of GOT btw,Reply
ACT I | TROUVAILLE,charmamig,"Aug 31, 2018",((;; but like who isn’t,Reply
ACT I | TROUVAILLE,charmamig,"Aug 31, 2018",Dany’s dream is fulfilled lol,Reply
ACT I | TROUVAILLE,stellardrone,"Aug 30, 2018",sorry for pinning your aesthetic's.,Reply
ACT I | TROUVAILLE,-POINTBREAK-,"Aug 04, 2018",Your wording is amazing !,Reply
ACT I | TROUVAILLE,geminigh,"Jul 31, 2018",I wish I had creative skills like this 😍,Reply
ACT I | TROUVAILLE,IN-ACTIVE-,"Jul 16, 2018",‘ruby studded immortal blood’ how do you even come up with something like that?! I love this line,1 Reply
ACT I | TROUVAILLE,Avery_Underwood,"Jul 14, 2018",These banners are amazing,2 Replies
ACT I | TROUVAILLE,denxument,"Jul 05, 2018",The writing flows absolutely flawlessly- it is so easy to read and it is so beautiful,Reply
ACT I | TROUVAILLE,BananaZurc,"Jul 03, 2018",What word is this? Is it Greek?,3 Replies
ACT I | TROUVAILLE,dxriangray,"Jul 02, 2018",THESE CHAPTER BANNERS DAMN,Reply
ACT I | TROUVAILLE,KaylaSilverOfficial,"Jun 20, 2018",I can actually see this happening😌,Reply
ACT I | TROUVAILLE,olympuses,"Jun 20, 2018",Yikes why is your writing so chilling and so stunning,Reply
