1.6K,1060,24.4K,1.4K,CROWN OF GLASS,
761,473,17.8K,1K,AESTHETICS,
987,643,16.1K,1.1K,ACT 0 | ORPHIC,
108,71,10.3K,858,ACT I | TROUVAILLE,
877,548,13.1K,1K,0 | PROLOGUE,
1.4K,782,12.6K,971,1 | ACT I, SCENE I
1.2K,802,9.2K,801,2 | ACT I, SCENE II
1.1K,689,8.1K,717,3 | ACT I, SCENE III
625,421,6.3K,646,4 | ACT I, SCENE IV
1.2K,886,6.5K,662,5 | ACT I, SCENE V
668,486,5.9K,669,6 | ACT I, SCENE VI
584,387,5.6K,590,7 | ACT I, SCENE VII
453,315,5K,532,8 | ACT I, SCENE VIII
259,165,5K,518,9 | ACT I, SCENE IX
494,296,5.5K,545,10 | ACT I, SCENE X
754,455,5.6K,566,11 | ACT I, SCENE XI
589,339,5K,528,12 | ACT I, SCENE XII
398,262,4.8K,559,13 | ACT I, SCENE XIII
523,343,4.4K,505,14 | ACT I, SCENE XIV
820,478,5.6K,503,15 | ACT I, SCENE XV
484,260,4.5K,507,16 | ACT I, SCENE XVI
350,220,4.1K,456,17 | ACT I, SCENE XVII
307,155,3.9K,471,18 | ACT I, SCENE XVIII
467,237,4K,437,19 | ACT I, SCENE XIX
236,136,3.5K,432,20 | ACT I, SCENE XX
333,157,3.6K,437,21 | ACT I, SCENE XXI
198,99,3.5K,425,22 | ACT I, SCENE XXII
191,103,3.5K,413,23 | ACT I, SCENE XXIII
306,152,3.6K,430,24 | ACT I, SCENE XXIV
430,250,3.7K,444,25 | ACT I, SCENE XXV
561,169,3.9K,406,26 | ACT I, SCENE XXVI
495,271,3.4K,417,27 | ACT I, SCENE XXVII
253,42,3.5K,420,28 | ACT I, SCENE XXVIII
87,27,3.6K,370,ACT II | QUATERVOIS,
412,202,4.5K,416,29 | ACT II, SCENE I
422,238,3.6K,465,30 | ACT II, SCENE II
519,281,4.4K,457,31 | ACT II, SCENE III
512,316,4.6K,422,32 | ACT II, SCENE IV
187,109,3.7K,428,33 | ACT II, SCENE V
242,149,3.8K,393,34 | ACT II, SCENE VI
335,199,3.7K,384,35 | ACT II, SCENE VII
329,204,3.2K,388,36 | ACT II, SCENE VIII
195,126,3.5K,385,37 | ACT II, SCENE IX
131,91,3.3K,360,38 | ACT II, SCENE X
200,164,3.3K,408,39 | ACT II, SCENE XI
133,100,3.1K,377,40 | ACT II, SCENE XII
144,94,3.2K,368,41 | ACT II, SCENE XIII
137,76,2.9K,364,42 | ACT II, SCENE XIV
264,186,3.3K,378,43 | ACT II, SCENE XV
231,144,3.1K,370,44 | ACT II, SCENE XVI
314,187,3.6K,370,45 | ACT II, SCENE XVII
223,178,3.5K,375,46 | ACT II, SCENE XVIII
282,147,3.1K,357,47 | ACT II, SCENE XIX
227,141,3.2K,351,48 | ACT II, SCENE XX
183,117,3.3K,351,49 | ACT II, SCENE XXI
385,239,3.4K,354,50 | ACT II, SCENE XXII
227,149,3.1K,373,51 | ACT II, SCENE XXIII
209,119,3K,380,52 | ACT II, SCENE XXIV
95,39,3K,317,ACT III | SAUDADE,
279,190,3.2K,357,53 | ACT III, SCENE I
109,89,3.1K,359,54 | ACT III, SCENE II
702,491,3.5K,337,55 | ACT III, SCENE III
270,146,2.9K,312,56 | ACT III, SCENE IV
119,90,2.9K,286,57 | ACT III, SCENE V
75,55,2.5K,303,58 | ACT III, SCENE VI
