,Chapter Name,Username,Date,Text,Negative,Neutral,Positive,Compound
0,CROWN OF GLASS,ElyzaFrost,Nov 20 2020,This made my day somewhat brighter.                   ,0.0,0.684,0.316,0.3197
1,CROWN OF GLASS,#NAME?,Nov 18 2020,rr ahh                   ,0.0,1.0,0.0,0.0
2,CROWN OF GLASS,inkstainsmyhand,Nov 18 2020,I'm already in awe                   ,0.0,1.0,0.0,0.0
3,CROWN OF GLASS,HuriAngel,Nov 17 2020,Ftr                   ,0.0,1.0,0.0,0.0
4,CROWN OF GLASS,cIubpenguin,Nov 17 2020,narnia bae                   ,0.0,1.0,0.0,0.0
5,CROWN OF GLASS,cIubpenguin,Nov 17 2020,ftr                   ,0.0,1.0,0.0,0.0
6,CROWN OF GLASS,cIubpenguin,Nov 17 2020,aw                   ,0.0,1.0,0.0,0.0
7,CROWN OF GLASS,TheBatmanWhoLaughs,Nov 16 2020, #rr ;-;                   ,0.0,1.0,0.0,0.0
8,CROWN OF GLASS,upsetbean,Nov-13 2020,ftr                   ,0.0,1.0,0.0,0.0
9,CROWN OF GLASS,upsetbean,Nov-13 2020,fly high margaery                   ,0.0,1.0,0.0,0.0
10,CROWN OF GLASS,prodigy_paris,Nov-12 2020,love this aesthetic!                   ,0.0,0.308,0.692,0.6696
11,CROWN OF GLASS,#NAME?,Oct-31 2020,my queen  pensive face                    ,0.0,0.698,0.302,0.0772
12,CROWN OF GLASS,sidneetsdawn,Oct-24 2020,AHHH                   ,0.0,1.0,0.0,0.0
13,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,THIS IS SO GOOD                   ,0.0,0.484,0.516,0.4927
14,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,hold the hell on                   ,0.605,0.395,0.0,-0.6808
15,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,AH                   ,0.0,1.0,0.0,0.0
16,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,definitely my type                   ,0.0,0.426,0.574,0.4019
17,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,sure                   ,0.0,0.0,1.0,0.3182
18,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,ugh yes                   ,0.509,0.0,0.491,-0.0258
19,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,im in love too  growing heart                    ,0.0,0.404,0.596,0.7096
20,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,awww                   ,0.0,1.0,0.0,0.0
21,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,i am in love                   ,0.0,0.323,0.677,0.6369
22,CROWN OF GLASS,weirdaesthetics,Oct-23 2020,ftr                   ,0.0,1.0,0.0,0.0
23,CROWN OF GLASS,ILY-BabyGirl23,Oct-20 2020,Thank u for giving me and other people a chance to read your beautiful book red heart  red heart  pleading face  face blowing a kiss  God bless u red heart  red heart                    ,0.0,0.532,0.468,0.9477
24,CROWN OF GLASS,goldncrowns,Oct-16 2020,AHHHHH                   ,0.0,1.0,0.0,0.0
25,CROWN OF GLASS,goldncrowns,Oct-16 2020,YASSSS                   ,0.0,1.0,0.0,0.0
26,CROWN OF GLASS,zuzypiia,Oct-10 2020,slow burn is best                   ,0.0,0.417,0.583,0.6369
27,CROWN OF GLASS,zuzypiia,Oct-10 2020,we all love a spicy writer  raised fist                    ,0.0,0.588,0.412,0.6369
28,CROWN OF GLASS,Aubrey-Bestaye,Oct-04 2020,That is the single best way to stop people from plagiarizing.                   ,0.143,0.584,0.273,0.4588
29,CROWN OF GLASS,SnowMoonlily,Oct-04 2020,MORTAL INSTUMENTTT                   ,0.0,1.0,0.0,0.0
30,CROWN OF GLASS,crookingly,Oct-01 2020,My heart--                   ,0.0,1.0,0.0,0.0
31,CROWN OF GLASS,crookingly,Oct-01 2020,So proud omg crying face  crying face                    ,0.476,0.283,0.24,-0.5162
32,CROWN OF GLASS,crookingly,Oct-01 2020,O-O I'm down  red heart  face with tears of joy  crying face                    ,0.281,0.506,0.213,-0.0516
33,CROWN OF GLASS,crookingly,Oct-01 2020,Tyyyyyyyyyy crying face  crying face  crying face  crying face                    ,0.713,0.287,0.0,-0.9081
34,CROWN OF GLASS,babvgurl3,Sep-30 2020,ftr                   ,0.0,1.0,0.0,0.0
35,CROWN OF GLASS,blueauroras,Sep-28 2020,this story looks soo interesting                   ,0.0,0.597,0.403,0.4019
36,CROWN OF GLASS,AyannaTheeWriter,Sep-25 2020,i started reading this a few years ago (you can see my old comments) but i stopped for some reason. so i'm really looking forward to reading start to finish.                   ,0.083,0.917,0.0,-0.3291
37,CROWN OF GLASS,AyannaTheeWriter,Sep-25 2020,as she should  relieved face                    ,0.0,0.606,0.394,0.3818
38,CROWN OF GLASS,AyannaTheeWriter,Sep-25 2020,omg 200 000 word count queen.                  ,0.0,1.0,0.0,0.0
39,CROWN OF GLASS,eyinkelana,Sep-23 2020,thank you  i feel honored loudly crying face  red heart  sparkles                   ,0.175,0.339,0.486,0.6705
40,CROWN OF GLASS,Ana_Robins,Sep-23 2020,The wattpad gods must have heard my cries and prayers and seen my bitter tears bc I've just been   sparkles b l e a s e d sparkles  to have come upon this masterpiece!!!!  https //media0.giphy.com/media/gjNi2mK7ev1mzCmpxV/giphy.gif?cid=82a1493bpt3qmavbmcy6gqvk0vpab1dgvm8tgz3ziv2q4osh&rid=giphy.gif                   ,0.231,0.646,0.124,-0.6083
41,CROWN OF GLASS,Ana_Robins,Sep-23 2020,I'm just gonna stop commenting rn bc no words that I say will ever describe how absolutely STUNNING this writing is!!! Like-                   ,0.155,0.599,0.247,0.5577
42,CROWN OF GLASS,Ana_Robins,Sep-23 2020,Yooooo! I'm still trying to comprehend how we're only scratching the SURFACE of what this book contains!                   ,0.0,1.0,0.0,0.0
43,CROWN OF GLASS,Ana_Robins,Sep-23 2020,It so easily flows how powerful this girl is!!! My brain is literally eating up every bit of wording like it's freaking candy!  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes                    ,0.051,0.564,0.385,0.9543
44,CROWN OF GLASS,Ana_Robins,Sep-23 2020,U've already stolen my heart lady and I haven't even met u yet!                   ,0.259,0.741,0.0,-0.5411
45,CROWN OF GLASS,Ana_Robins,Sep-23 2020,I'm trying not to scream! I'm falling in love so hard rn!!!                   ,0.182,0.419,0.399,0.7319
46,CROWN OF GLASS,Ana_Robins,Sep-23 2020,EEEEEEEEEKKKKKKK! I'm already drooling over words that my vocabulary could never compare to in a million years!  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes  I haven't even started the chapters yet!  star-struck  star-struck  star-struck                    ,0.0,0.716,0.284,0.9421
47,CROWN OF GLASS,Ana_Robins,Sep-22 2020,Well I'll be damned.....  *insert heavenly choir song*      where have u been all my life......?                   ,0.0,0.663,0.337,0.7269
48,CROWN OF GLASS,Ana_Robins,Sep-22 2020,U had me at Greek mythology  smiling face with heart-eyes  smiling face with heart-eyes  smiling face with heart-eyes                    ,0.0,0.609,0.391,0.8402
49,CROWN OF GLASS,Ana_Robins,Sep-22 2020,The final element that is always the most complicated......I've got high expectations                   ,0.0,1.0,0.0,0.0
50,CROWN OF GLASS,Ana_Robins,Sep-22 2020,I'm already sharpening my knives                   ,0.0,1.0,0.0,0.0
51,CROWN OF GLASS,Ana_Robins,Sep-22 2020,*sigh* if only the destruction they left behind wasn't so hard to recover from.........            I'd do it all over again                   ,0.159,0.771,0.07,-0.4694
52,CROWN OF GLASS,Ana_Robins,Sep-22 2020,Excellent! That's exactly what I'm here for!  smiling face with horns  smiling face with horns  smiling face with horns                    ,0.0,0.53,0.47,0.9229
53,CROWN OF GLASS,Ana_Robins,Sep-22 2020,I love u too! Keep making me fall hard for u!!! We might be married and have already moved in together by the time I'm half way through the book lol  face with tears of joy                    ,0.075,0.655,0.27,0.8926
54,CROWN OF GLASS,Ana_Robins,Sep-22 2020,Awwww!                   ,0.0,1.0,0.0,0.0
55,CROWN OF GLASS,Ana_Robins,Sep-22 2020,We've all been or r victims of Pinterest she's like the ultimate attention seeker as soon as u open her up ur transported to her world and u completely forget who u r and what u wanted to look for in the first place and Pinterest does NOT let go she'll make u stay with her for god knows how long she knows exactly how to keep ur attention on her and only her *shudders* Pinterest is scary now that I think abt it..... anxious face with sweat                    ,0.11,0.838,0.052,-0.624
56,CROWN OF GLASS,Ana_Robins,Sep-22 2020,I wouldn't be on wattpad if I wasn't ready lol  face with tears of joy  winking face with tongue                    ,0.274,0.562,0.164,-0.1386
