,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part
0,1600,1060,24400,1400,CROWN OF GLASS,CROWN OF GLASS,NA
1,761,473,17800,1000,AESTHETICS,AESTHETICS,NA
2,987,643,16100,1100,ACT 0 | ORPHIC,ACT 0 | ORPHIC,0
3,108,71,10300,858,ACT I | TROUVAILLE,ACT I | TROUVAILLE,1
4,877,548,13100,1000,0 | PROLOGUE,0 | PROLOGUE,NA
5,1400,782,12600,971,1 | ACT I SCENE I,1,1
6,1200,802,9200,801,2 | ACT I SCENE II,2,1
7,1100,689,8100,717,3 | ACT I SCENE III,3,1
8,625,421,6300,646,4 | ACT I SCENE IV,4,1
9,1200,886,6500,662,5 | ACT I SCENE V,5,1
10,668,486,5900,669,6 | ACT I SCENE VI,6,1
11,584,387,5600,590,7 | ACT I SCENE VII,7,1
12,453,315,5000,532,8 | ACT I SCENE VIII,8,1
13,259,165,5000,518,9 | ACT I SCENE IX,9,1
14,494,296,5500,545,10 | ACT I SCENE X,10,1
15,754,455,5600,566,11 | ACT I SCENE XI,11,1
16,589,339,5000,528,12 | ACT I SCENE XII,12,1
17,398,262,4800,559,13 | ACT I SCENE XIII,13,1
18,523,343,4400,505,14 | ACT I SCENE XIV,14,1
19,820,478,5600,503,15 | ACT I SCENE XV,15,1
20,484,260,4500,507,16 | ACT I SCENE XVI,16,1
21,350,220,4100,456,17 | ACT I SCENE XVII,17,1
22,307,155,3900,471,18 | ACT I SCENE XVIII,18,1
23,467,237,4000,437,19 | ACT I SCENE XIX,19,1
24,236,136,3500,432,20 | ACT I SCENE XX,20,1
25,333,157,3600,437,21 | ACT I SCENE XXI,21,1
26,198,99,3500,425,22 | ACT I SCENE XXII,22,1
27,191,103,3500,413,23 | ACT I SCENE XXIII,23,1
28,306,152,3600,430,24 | ACT I SCENE XXIV,24,1
29,430,250,3700,444,25 | ACT I SCENE XXV,25,1
30,561,169,3900,406,26 | ACT I SCENE XXVI,26,1
31,495,271,3400,417,27 | ACT I SCENE XXVII,27,1
32,253,42,3500,420,28 | ACT I SCENE XXVIII,28,1
33,87,27,3600,370,ACT II | QUATERVOIS,ACT II | QUATERVOIS,2
34,412,202,4500,416,29 | ACT II SCENE I,29,2
35,422,238,3600,465,30 | ACT II SCENE II,30,2
36,519,281,4400,457,31 | ACT II SCENE III,31,2
37,512,316,4600,422,32 | ACT II SCENE IV,32,2
38,187,109,3700,428,33 | ACT II SCENE V,33,2
39,242,149,3800,393,34 | ACT II SCENE VI,34,2
40,335,199,3700,384,35 | ACT II SCENE VII,35,2
41,329,204,3200,388,36 | ACT II SCENE VIII,36,2
42,195,126,3500,385,37 | ACT II SCENE IX,37,2
43,131,91,3300,360,38 | ACT II SCENE X,38,2
44,200,164,3300,408,39 | ACT II SCENE XI,39,2
45,133,100,3100,377,40 | ACT II SCENE XII,40,2
46,144,94,3200,368,41 | ACT II SCENE XIII,41,2
47,137,76,2900,364,42 | ACT II SCENE XIV,42,2
48,264,186,3300,378,43 | ACT II SCENE XV,43,2
49,231,144,3100,370,44 | ACT II SCENE XVI,44,2
50,314,187,3600,370,45 | ACT II SCENE XVII,45,2
51,223,178,3500,375,46 | ACT II SCENE XVIII,46,2
52,282,147,3100,357,47 | ACT II SCENE XIX,47,2
53,227,141,3200,351,48 | ACT II SCENE XX,48,2
54,183,117,3300,351,49 | ACT II SCENE XXI,49,2
55,385,239,3400,354,50 | ACT II SCENE XXII,50,2
56,227,149,3100,373,51 | ACT II SCENE XXIII,51,2
57,209,119,3000,380,52 | ACT II SCENE XXIV,52,2
58,95,39,3000,317,ACT III | SAUDADE,ACT III | SAUDADE,3
59,279,190,3200,357,53 | ACT III SCENE I,53,3
60,109,89,3100,359,54 | ACT III SCENE II,54,3
61,702,491,3500,337,55 | ACT III SCENE III,55,3
62,270,146,2900,312,56 | ACT III SCENE IV,56,3
63,119,90,2900,286,57 | ACT III SCENE V,57,3
64,75,55,2500,303,58 | ACT III SCENE VI,58,3
65,343,245,3200,365,59 | ACT III SCENE VII,59,3
66,193,157,3500,325,60 | ACT III SCENE VIII,60,3
67,260,168,3300,305,61 | ACT III SCENE IX,61,3
68,233,116,2400,282,ACT IV | VIRAGO,ACT IV | VIRAGO,4
69,293,188,2600,316,62 | ACT IV SCENE I,62,4
70,318,239,2500,326,63 | ACT IV SCENE II,63,4
71,387,287,2600,291,64 | ACT IV SCENE III,64,4
72,303,190,2600,296,65 | ACT IV SCENE IV,65,4
73,407,272,2700,299,66 | ACT IV SCENE V,66,4
74,401,268,2500,278,67 | ACT IV SCENE VI,67,4
75,288,180,2300,286,68 | ACT IV SCENE VII,68,4
76,334,227,2800,307,69 | ACT IV SCENE VIII,69,4
77,382,303,2700,309,70 | ACT IV SCENE IX,70,4
78,497,238,2600,320,71 | ACT IV SCENE X,71,4
79,481,305,2800,328,72 | ACT IV SCENE XI,72,4
80,537,338,3100,344,73 | ACT IV SCENE XII,73,4
81,61,45,2900,275,ACT V | GIBEL,ACT V | GIBEL,5
82,514,367,3100,339,74 | ACT V SCENE I,74,5
83,386,268,3400,354,75 | ACT V SCENE II,75,5
84,733,525,3700,368,76 | ACT V SCENE III,76,5
85,490,364,3200,338,77 | ACT V SCENE IV,77,5
86,698,504,3700,334,78 | ACT V SCENE V,78,5
87,426,248,4000,315,79 | ACT V SCENE VI,79,5
88,387,206,3500,285,80 | ACT V SCENE VII,80,5
