,Chapter Name,Username,Date,Text,Negative,Neutral,Positive,Compound
0,QUEEN OF DEATH,blue_eye56,Nov 09 2020,the family tree is just like one branch ,0.0,0.737,0.263,0.3612
1,QUEEN OF DEATH,blue_eye56,Nov 09 2020,I'm already hooked ,0.0,1.0,0.0,0.0
2,QUEEN OF DEATH,laurabear14,Oct 05 2020,this family tree is a straight line skull  ,0.0,0.759,0.241,0.2263
3,QUEEN OF DEATH,NoVel_Heart_Beat,Oct 05 2020,WHY IS NO ONE TALKING ABOUT THE QUOTE THAT IS SO BEAUTIFUL smiling face with heart-eyes  blue heart  ,0.106,0.544,0.349,0.8272
4,QUEEN OF DEATH,zuzypiia,Oct 02 2020,Demeter is basically a yandere but mom version  eyes  ,0.0,1.0,0.0,0.0
5,QUEEN OF DEATH,-fairytones-,Sep 16 2020,LANAA ,0.0,1.0,0.0,0.0
6,QUEEN OF DEATH,-fairytones-,Sep 16 2020,what a hooker skull  skull  ,0.0,1.0,0.0,0.0
7,QUEEN OF DEATH,Goldensoul101,Sep 13 2020,I love her! pleading face  red heart  ,0.0,0.527,0.473,0.6696
8,QUEEN OF DEATH,chocolateaddict17,Sep 13 2020,Halsey  two hearts  ,0.0,1.0,0.0,0.0
9,QUEEN OF DEATH,bloodymadd,Sep 12 2020,Go away ,0.0,1.0,0.0,0.0
10,QUEEN OF DEATH,-weird_ugly-,Sep 09 2020,I miss COG but here I am  letzzgooo ,0.206,0.794,0.0,-0.0772
11,QUEEN OF DEATH,boredgirl001,Aug 18 2020,That's Phoebe Tonkin  pleading face  red heart  ,0.0,1.0,0.0,0.0
12,QUEEN OF DEATH,boredgirl001,Aug 18 2020,My number one bitch  relieved face  ,0.355,0.28,0.364,-0.2263
13,QUEEN OF DEATH,oblivescencepreta,Aug 17 2020,Made a Spotify playlist with all the songs if ur lazy to make one by yourself  sparkles  the link  ↓  https //open.spotify.com/playlist/2n0t7VGn0Az0wuF8vXD7uI?si=agA VbxlRGWQ9mnMpBdMWg ,0.105,0.798,0.097,-0.0516
14,QUEEN OF DEATH,DictateYourself,Aug 16 2020,I thought Hades was the eldest face with monocle  ,0.0,1.0,0.0,0.0
15,QUEEN OF DEATH,-godling,Aug 13 2020,DUUUUDE THE AESTHETIC. THE WAY THE WORDS FALL TOGETHER. IM HERE FOR IT ,0.0,1.0,0.0,0.0
16,QUEEN OF DEATH,bumblebea-,Aug 09 2020,so excited ,0.0,0.271,0.729,0.4005
17,QUEEN OF DEATH,roseatesilks,Aug 03 2020,holy fucking shit yes the great gatsby soundtrackkk y&b!!,0.222,0.342,0.436,0.5816
18,QUEEN OF DEATH,melony_ki,Jul 30 2020,The man who couldn't keep his sword sheathed. ,0.0,1.0,0.0,0.0
19,QUEEN OF DEATH,melony_ki,Jul 30 2020,I'm just here  chilling while reading comments. *sips tea* nice tea teacup without handle . ,0.069,0.755,0.176,0.4019
20,QUEEN OF DEATH,melony_ki,Jul 30 2020,Being kept around by her parent so much  Persephone became a naughty girl... ,0.0,1.0,0.0,0.0
21,QUEEN OF DEATH,Lollipoppurple15,Jul 28 2020,We can all testify  person raising hand medium-dark skin tone  ,0.0,0.738,0.262,0.4939
22,QUEEN OF DEATH,krishnam0001,Jul 25 2020,I'm already excited  winking face with tongue  ,0.0,0.714,0.286,0.34
23,QUEEN OF DEATH,TheAnnoyingBitch,Jul 20 2020,"If I may offer some insight? The Greek tales didn't speak of a 'rape'. In Greek  the title of the myth is ""The taking of Persephone"" (which only refers to the kidnapping). The ""rape of Persephone"" as you know it comes from the Latin versions (Ovid mainly) and the word ""rapere"" which  over the years changed in context and got associated heavily with sexual assault. It is speculated  since Hades followed the marital customs to the letter  that he didn't touch her sexually until after she ate the seeds  as it happened in all marriages that occurred during those years.",0.081,0.919,0.0,-0.8591
24,QUEEN OF DEATH,TheAnnoyingBitch,Jul 20 2020,"Um  I don't know if this is just for your book or if it is what you've read in general but Demeter wasn't ""obsessed"" with Persephone. She was the embodiment of every Greek mother of the times that suffered the loss of her daughter when that daughter got married. During that period  when the daughter got married  she usually moved far away and never saw her mother again. Also  marriage many times equalled a quick death (either from childbirth or an illness) so  it is pretty evident why Demeter chose to protect her daughter. ",0.117,0.808,0.075,-0.6709
25,QUEEN OF DEATH,TheAnnoyingBitch,Jul 20 2020,Hades was actually the oldest and Zeus was the youngest  hence why he was the one to free his siblings from Kronos ,0.0,0.864,0.136,0.5106
26,QUEEN OF DEATH,sweet-ghosts,Jul 20 2020,Damn  I'm hyped ,0.574,0.426,0.0,-0.4019
27,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,Dont be shy drop the @ we'll deal with them for u red heart  jk ily ,0.0,0.504,0.496,0.834
28,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,I can imagine bella as a goddess face with tears of joy  ,0.139,0.584,0.277,0.4404
29,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,is that phoebe ,0.0,1.0,0.0,0.0
30,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,Correct me if im wrong  didnt zeus sleep with his daughter persephone O o ,0.22,0.78,0.0,-0.4767
31,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,Hades is my favourite  sparkles  ,0.0,0.635,0.365,0.3182
32,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,I will always sincerely hate apollo red heart  ,0.314,0.424,0.263,-0.1531
33,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,I am OBSESSED with it loudly crying face  ,0.525,0.475,0.0,-0.6739
34,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,SEGOVIA AMILL loudly crying face  two hearts  ,0.341,0.659,0.0,-0.4767
35,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,JAJJSNZMZ I MADE A SHORT BOOK ABOUT THEM IN MY NOTES LMAOO ,0.0,1.0,0.0,0.0
36,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,Persephone!!! ,0.0,1.0,0.0,0.0
37,QUEEN OF DEATH,daisy_nightmares,Jul 17 2020,JWJSJ NOW IM HERE ,0.0,1.0,0.0,0.0
38,QUEEN OF DEATH,YouTopiaOfficial,Jul 09 2020,Thank you so much for not glorifying or romanticising abuse! ,0.547,0.32,0.133,-0.8301
39,QUEEN OF DEATH,angvstvi,Jul 02 2020,lana !!! ,0.0,1.0,0.0,0.0
40,QUEEN OF DEATH,angvstvi,Jul 02 2020,oh to be persephone  black heart  ,0.0,1.0,0.0,0.0
41,QUEEN OF DEATH,angvstvi,Jul 02 2020,(tragic but beautiful) ,0.0,1.0,0.0,0.0
42,QUEEN OF DEATH,angvstvi,Jul 02 2020,mythology is just <333 ,0.0,1.0,0.0,0.0
43,QUEEN OF DEATH,angvstvi,Jul 02 2020,!!! ,0.0,1.0,0.0,0.0
44,QUEEN OF DEATH,angvstvi,Jul 02 2020,now THIS is a retelling ,0.0,1.0,0.0,0.0
45,QUEEN OF DEATH,urcyanide,Jun 22 2020,lolzzzz yesssss ,0.0,1.0,0.0,0.0
46,QUEEN OF DEATH,ROYALTEA-,Jun 20 2020,yessssssssssssssss ,0.0,1.0,0.0,0.0
47,QUEEN OF DEATH,Gold_dots,Jun 12 2020,Getting PJO vibes ,0.0,1.0,0.0,0.0
48,QUEEN OF DEATH,bIxssm,Jun 05 2020,I only chose to believe in Lore Olympus.....jk ,0.0,1.0,0.0,0.0
49,QUEEN OF DEATH,n0_n4me104,May 11 2020,i have a bad experience with retellings about Zeus and Hera but I'm excited to see what your version would look like ,0.088,0.664,0.248,0.6249
50,QUEEN OF DEATH,lihayila,May 05 2020,I'm hooked ,0.0,1.0,0.0,0.0
51,QUEEN OF DEATH,localfairyqueen,Apr 07 2020,I wonder what demeter thought she'd accomplish by doing this face with tears of joy  even if she succeeded  persephone would've turned on her ,0.063,0.627,0.31,0.8176
52,QUEEN OF DEATH,localfairyqueen,Apr 07 2020,Ion like zeus bc of what he did to medusa  / ,0.0,0.783,0.217,0.3612
53,QUEEN OF DEATH,localfairyqueen,Apr 07 2020,All the other retellings of this r kinda cringey face with tears of joy  so ty for trying ur hand at this ,0.065,0.581,0.354,0.8579
54,QUEEN OF DEATH,auroradawnx,Apr 03 2020,bella baby !!! ,0.0,1.0,0.0,0.0
55,QUEEN OF DEATH,auroradawnx,Apr 03 2020,yEs ,0.0,0.0,1.0,0.4019
56,QUEEN OF DEATH,auroradawnx,Apr 03 2020,phoebe  pleading face  star-struck  ,0.0,1.0,0.0,0.0
57,QUEEN OF DEATH,ThEfaLlEn_AngEl_,Mar 22 2020,Omg i have goosebumps ,0.0,1.0,0.0,0.0
58,QUEEN OF DEATH,jimins_hotchoco,Mar 18 2020,Now I'm hooked ,0.0,1.0,0.0,0.0
59,QUEEN OF DEATH,Aclassicb1tch,Feb 14 2020,Ahh lana my queen ,0.0,1.0,0.0,0.0
60,QUEEN OF DEATH,Maggie3Joya,Jan 30 2020,Tbh all the ancient gods have horrible ideas of marriage and romance. I think the only pure one is Orpheus and Euridice ,0.134,0.728,0.138,0.0258
61,QUEEN OF DEATH,Maggie3Joya,Jan 30 2020,*cough* Hadestown Cast album*cough*  ) ,0.0,1.0,0.0,0.0
62,QUEEN OF DEATH,waverly64,Jan 15 2020,Can I just say with that Face I'd fuck Him too weary face  zany face  drooling face,0.286,0.714,0.0,-0.6808
63,QUEEN OF DEATH,waverly64,Jan 15 2020,In some it's said that Zeus raped her and that he was her father ,0.261,0.739,0.0,-0.6808
64,QUEEN OF DEATH,-BasicWitch,Jan 04 2020,Young and beautiful should be a national anthem ,0.0,0.606,0.394,0.5994
65,QUEEN OF DEATH,-BasicWitch,Jan 04 2020,She's incredibly beautiful ,0.0,0.323,0.677,0.6361
66,QUEEN OF DEATH,-BasicWitch,Jan 04 2020,Goddess of beauty!!! Sasha Luss is gorgeous ,0.0,0.366,0.634,0.865
67,QUEEN OF DEATH,zephyre13,Jan 03 2020,Woah that's a powerful goddess alright! ,0.0,0.371,0.629,0.6239
68,QUEEN OF DEATH,zephyre13,Jan 03 2020,I love the idea of having poems as an inspiration and sharing them forward with your readers.. Thanks! I'll read them sometime soon! ,0.0,0.565,0.435,0.9311
69,QUEEN OF DEATH,Rusted_Gold,Dec 20 2019,Hades is the oldest  Poseidon the middle and Zeus the youngest ,0.0,1.0,0.0,0.0
70,QUEEN OF DEATH,ChristineHooks,Nov 22 2019,Hades was the oldest brother. Zades the youngest. ,0.0,1.0,0.0,0.0
71,QUEEN OF DEATH,FireFairyPrincess05,Nov 11 2019,The Targaryens were like fucking gods...,0.0,0.667,0.333,0.3612
72,QUEEN OF DEATH,FireFairyPrincess05,Nov 11 2019,You bought me with this...  smiling face with heart-eyes  smiling face with heart-eyes  red heart  ,0.0,0.684,0.316,0.7184
73,QUEEN OF DEATH,infernalbiitch,Nov 03 2019,AHHHH IM CRYING THIS IS SO NICE??? ,0.31,0.426,0.264,-0.1398
74,QUEEN OF DEATH,midnight-chapters,Oct 23 2019,lana  my queen ,0.0,1.0,0.0,0.0
75,QUEEN OF DEATH,LRRMelo,Oct 17 2019,"This ""rape"" trope was caused by a translation ""mistake"" made by copist monks. I wasn't a thing on the original. ",0.0,0.874,0.126,0.3182
76,QUEEN OF DEATH,milknhon3y,Oct 11 2019,loving this so far! ,0.0,0.417,0.583,0.636
77,QUEEN OF DEATH,milknhon3y,Oct 11 2019,that quote  smiling face with heart-eyes  ,0.0,0.625,0.375,0.4588
78,QUEEN OF DEATH,milknhon3y,Oct 11 2019,yeeeees ,0.0,1.0,0.0,0.0
79,QUEEN OF DEATH,milknhon3y,Oct 11 2019,ahhh so good! ,0.0,0.365,0.635,0.54
80,QUEEN OF DEATH,lvsung,Oct 05 2019,I honestly feel much more attached to stories where the author really talks to the reader like a friend. I love u too ,0.0,0.538,0.462,0.9169
81,QUEEN OF DEATH,lufemania,Oct 01 2019,Personally  I think you are amazing for actually giving a few details about greek mythology for some readers who have no idea what may be happening. Most authors will just dive right into the story without so much as background knowledge on things most don't really know. Also I'm already in love with this because Hades and Persephone are literally my favorite couple. ,0.031,0.782,0.187,0.9042
82,QUEEN OF DEATH,Abbzreads,Sep 25 2019,Another fun fact! Persephone is actually a woman of colour. ,0.0,0.69,0.31,0.5562
83,QUEEN OF DEATH,Abbzreads,Sep 25 2019,"But the one with the pomegranate and stuff isn't the original story of Hades and Persephone. The actual one is when Persephone is named Kore and she finds an entersnce tp the underworld and likes it so she wants to stay there then when Hades sees her he's like ""what is beautiful woman doing here?"" And stuff. ",0.031,0.826,0.143,0.8041
84,QUEEN OF DEATH,Abbzreads,Sep 25 2019,Hades isn't the god of the dead though  he's the lord of the dead and the god of riches. ,0.413,0.473,0.115,-0.8329
85,QUEEN OF DEATH,Abbzreads,Sep 25 2019,Fun fact  Hades isn't the god of death. He's the god of riches and the lord of the underworld. Actually Thanatos who's the angel of death. ,0.3,0.525,0.176,-0.5759
86,QUEEN OF DEATH,-nixgotsarcasm,Sep 16 2019,I am Greek and our school never bothered that much to teach us Greek mythology  something that saddened me a lot throughout the years. ,0.134,0.789,0.077,-0.3481
87,QUEEN OF DEATH,-nixgotsarcasm,Sep 16 2019,perfect! ,0.0,0.0,1.0,0.6114
88,QUEEN OF DEATH,-nixgotsarcasm,Sep 16 2019,thank you for writing it  love you more ,0.0,0.472,0.528,0.7717
89,QUEEN OF DEATH,venusexual,Aug 29 2019,i love u too  already  pleading face  ,0.0,0.488,0.512,0.6369
90,QUEEN OF DEATH,venusexual,Aug 29 2019,i've always been in love w their story  as well  and just the thought that i finally found ur book makes my heart skip beats <3 ,0.0,0.695,0.305,0.8481
91,QUEEN OF DEATH,lunarwxtch,Aug 18 2019,Sweet home Alabama ,0.0,0.4,0.6,0.4588
92,QUEEN OF DEATH,Alyeska3371,Aug 18 2019,DO WHEAT NOT WEED ,0.0,1.0,0.0,0.0
93,QUEEN OF DEATH,GreyEyedGirl02,Aug 16 2019,basically gonna listen to hadestown ig ,0.0,1.0,0.0,0.0
94,QUEEN OF DEATH,authormahimistry,Aug 14 2019,LANA ,0.0,1.0,0.0,0.0
95,QUEEN OF DEATH,authormahimistry,Aug 14 2019,PJO fandom hates her sm  face with tears of joy  ,0.308,0.449,0.244,0.0
96,QUEEN OF DEATH,authormahimistry,Aug 14 2019,SEAN O'PRY ,0.0,1.0,0.0,0.0
97,QUEEN OF DEATH,authormahimistry,Aug 14 2019,Love you more ,0.0,0.323,0.677,0.6369
98,QUEEN OF DEATH,authormahimistry,Aug 14 2019,Yes!  red heart  ,0.0,0.401,0.599,0.4574
99,QUEEN OF DEATH,authormahimistry,Aug 14 2019,I want to cry at the whole aesthetic. I am so excited for the book! ,0.174,0.562,0.264,0.1551
100,QUEEN OF DEATH,authormahimistry,Aug 14 2019,QUEEEENN ,0.0,1.0,0.0,0.0
101,QUEEN OF DEATH,authormahimistry,Aug 14 2019,He definitely is! ,0.0,0.401,0.599,0.4574
102,QUEEN OF DEATH,authormahimistry,Aug 14 2019,YESSSSS!  smiling face with heart-eyes  ,0.0,0.549,0.451,0.5093
103,QUEEN OF DEATH,brittae_13,Aug 11 2019,I've been reading Lore Olympus on Webtoon and the idea of these 2 lovers had me starting this book ,0.0,0.833,0.167,0.5267
104,QUEEN OF DEATH,brittae_13,Aug 11 2019,NEW BOOK LETS GO ,0.0,1.0,0.0,0.0
105,QUEEN OF DEATH,Raghavi2104,Aug 05 2019,I have no idea how you come up with these things my lord!!! ,0.219,0.781,0.0,-0.4724
106,QUEEN OF DEATH,mdcclxx,Jul 31 2019,LANA ,0.0,1.0,0.0,0.0
107,QUEEN OF DEATH,mdcclxx,Jul 31 2019,Her face looks like power ,0.0,0.615,0.385,0.3612
108,QUEEN OF DEATH,mdcclxx,Jul 31 2019,goddess of love and beauty  I can see why  black heart  ,0.0,0.5,0.5,0.8402
109,QUEEN OF DEATH,mdcclxx,Jul 31 2019,The edgelord we didn't know we needed ,0.0,1.0,0.0,0.0
110,QUEEN OF DEATH,mdcclxx,Jul 31 2019, sparkling heart  sparkling heart  ,0.0,0.312,0.688,0.5267
111,QUEEN OF DEATH,Poison117,Jul 18 2019,Hades is the oldest  then Poseidon  then Zeus. ,0.0,1.0,0.0,0.0
112,QUEEN OF DEATH,Mrspinecone,Jul 17 2019, weary face just finished crown of glass I'm a die hard fan of your books bitch  black heart  ,0.439,0.471,0.09,-0.836
113,QUEEN OF DEATH,BananaZurc,Jul 15 2019,Thanks for the list! Definitely gonna check all of this  red heart  ,0.0,0.629,0.371,0.7088
114,QUEEN OF DEATH,BananaZurc,Jul 15 2019,Just because he's Death doesn't mean he's incapable of loving ,0.23,0.412,0.358,0.2924
115,QUEEN OF DEATH,BananaZurc,Jul 15 2019,This quote tho  smiling face with heart-eyes  ,0.0,0.667,0.333,0.4588
116,QUEEN OF DEATH,bIxssm,Jul 14 2019,I think I'm in love with this book! ,0.0,0.572,0.428,0.6696
117,QUEEN OF DEATH,bIxssm,Jul 14 2019,Correct me if I'm wrong....... Is Hecate Hades' daughter? (Not in this universe but in general) ,0.0,1.0,0.0,0.0
118,QUEEN OF DEATH,bIxssm,Jul 14 2019,"Y'all should read Lore Olympus on WEBTOON! It's absolutely hilarious and yet quite melancholy. It features the romance of Persephone and Hades  along with the tragic ""Rape of Persephone"" don't worry  it's not Hades who did it )  ",0.219,0.606,0.176,-0.4915
119,QUEEN OF DEATH,moonandstarsishy,Jul 13 2019,I'm so ready! ,0.0,0.393,0.607,0.474
120,QUEEN OF DEATH,moonandstarsishy,Jul 13 2019,I'm so excited to read this ,0.0,0.65,0.35,0.4005
121,QUEEN OF DEATH,skandalus,Jul 13 2019,I think this maybe my favourite take on a tale that's enchanted me for so long!! ,0.0,0.803,0.197,0.4912
122,QUEEN OF DEATH,StarryyNightmare,Jul 12 2019,I enjoy reading books that contains Greek mythology the way you described the characters so the experience won't be spoiled is sooo freaking coool can't wait to read thisssss loudly crying face  yellow heart  ,0.151,0.767,0.082,-0.4019
123,QUEEN OF DEATH,RainyChandelier,Jul 07 2019,IM SO EXCITED FOR THIS BOOK FOR. LIKE FOREVVERRR.. ths has been in my reading list for quite a while and now I cant help at reading it even jf its not finished yet star-struck  star-struck  ,0.056,0.763,0.182,0.7298
124,QUEEN OF DEATH,BluebellsBooks,Jun 25 2019,Brilliant Idea. I'm sure I'll love it. ,0.0,0.28,0.72,0.8834
125,QUEEN OF DEATH,emilyawesome383,Jun 25 2019,Will the songs be included with the chapter?  grinning face with smiling eyes  ,0.0,0.667,0.333,0.6705
126,QUEEN OF DEATH,emilyawesome383,Jun 25 2019,I've never seen a more aroused statue ,0.0,1.0,0.0,0.0
127,QUEEN OF DEATH,ajebota_queen,Jun 20 2019,This entire aesthetic is so dangerously beautiful and enticing. ,0.257,0.465,0.278,0.0803
128,QUEEN OF DEATH,Uwwbveksksv,Jun 09 2019,For the soundtrack may I suggest all of Hadestown-The Myth.The Musical ,0.0,1.0,0.0,0.0
129,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,Woahh ,0.0,1.0,0.0,0.0
130,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,It's actually weird to picture Zeus as a young guy in my mind he's like sixty ,0.099,0.756,0.145,0.2023
131,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,For some reason these aesthetics are giving me Lana Del Rey vibes. Is anyone else getting them too or am I just seeing things?  face with tears of joy  ,0.057,0.755,0.187,0.6486
132,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,Oof ,0.0,1.0,0.0,0.0
133,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,I think I'm in love ,0.0,0.417,0.583,0.6369
134,QUEEN OF DEATH,sunflowerlies,Jun 02 2019,I'm rereading because why not? ,0.0,1.0,0.0,0.0
135,QUEEN OF DEATH,burgundoise,May 31 2019,Young And Beautiful is everything! You have amazing taste in music. ,0.0,0.53,0.47,0.8398
136,QUEEN OF DEATH,MaskedParkers,May 20 2019,THE ROAD!! I love you already! ,0.0,0.441,0.559,0.7249
137,QUEEN OF DEATH,rroguue,Apr 28 2019,^ ah shit I'm hard,0.714,0.286,0.0,-0.6124
138,QUEEN OF DEATH,lethaliity,Apr 28 2019,@rroguue lOOK AT HIM  drooling face  ,0.0,1.0,0.0,0.0
139,QUEEN OF DEATH,KendallShaw,Apr 27 2019,I typically dont tend to ponder on stories having to do with greek gods and godesses mainly beacuase ive never really found the storys that enjoybable  besides percy jackson hahah. However this story is quiet tantalyzing and one i thing id enhoy continuing to read  red heart  ,0.0,1.0,0.0,0.0
140,QUEEN OF DEATH,-BLACKBEAKS,Apr 27 2019,I'm damn sure I'm gonna enjoy the hell outta this ,0.388,0.319,0.293,-0.4215
141,QUEEN OF DEATH,xBackToMe,Mar 31 2019,She's brutally beautiful ,0.449,0.112,0.438,-0.0258
142,QUEEN OF DEATH,EquinoxJam,Mar 18 2019,Typical Zeus  face with tears of joy  ,0.178,0.467,0.355,0.4404
143,QUEEN OF DEATH,shiacer,Mar 10 2019,persephone is that girl who has everyone's attention and every boy (and girl) wants her plus she's super popular and you can't even hate her cause she's super nice ,0.0,0.594,0.406,0.9468
144,QUEEN OF DEATH,shiacer,Mar 10 2019,zeus  u lil hoe ,0.0,1.0,0.0,0.0
145,QUEEN OF DEATH,jazzymuse,Mar 03 2019,Technically you could pull a name out of a hat and ship Zeus with them  because chances are  he's slept with them. grinning face with sweat  ,0.0,0.837,0.163,0.5106
146,QUEEN OF DEATH,Kiahni_C,Feb 17 2019,Somehow I have avoided the story of Hades and Persephone even though it embodies much of what I love in literature. I'm hardly familiar with the story and have read nothing about it. I honestly can't think of a better place to start with my obsession than right here accompanied by your lovely  poetic  and inspirational writing.  black heart  ,0.14,0.696,0.164,0.5594
147,QUEEN OF DEATH,_JustAnotherIdiot,Feb 12 2019,That's gorgeous omg ,0.0,0.333,0.667,0.6124
148,QUEEN OF DEATH,angelslumber,Feb 05 2019,LOVE ALL OF THESE ,0.0,0.417,0.583,0.6369
149,QUEEN OF DEATH,angelslumber,Feb 05 2019,bella what a queen ,0.0,1.0,0.0,0.0
150,QUEEN OF DEATH,angelslumber,Feb 05 2019,loving hecate ,0.0,0.204,0.796,0.5994
151,QUEEN OF DEATH,angelslumber,Feb 05 2019,nu-uh ares  i don't think so ,0.0,1.0,0.0,0.0
152,QUEEN OF DEATH,angelslumber,Feb 05 2019,wow  i thought you were talking about them actual fruit oops ,0.0,0.703,0.297,0.5859
153,QUEEN OF DEATH,angelslumber,Feb 05 2019,i'm already in love ,0.0,0.417,0.583,0.6369
154,QUEEN OF DEATH,angelslumber,Feb 05 2019,omg this is so beautiful smiling face with heart-eyes  ,0.0,0.458,0.542,0.8508
155,QUEEN OF DEATH,PrincessSaiahCheng,Jan 15 2019,Zeus qoute really suits him  face with tears of joy  ,0.139,0.584,0.277,0.4404
156,QUEEN OF DEATH,iloojin,Jan 13 2019,I would never understand that kind of action ,0.0,1.0,0.0,0.0
157,QUEEN OF DEATH,iloojin,Jan 13 2019,That was a lot of information  grinning face with big eyes  ,0.0,0.783,0.217,0.3612
158,QUEEN OF DEATH,iloojin,Jan 13 2019,Thank you  as I am not familiar with it I was hesitant to read but thanks for doing it. It's easier to understand now. ,0.052,0.625,0.323,0.8316
159,QUEEN OF DEATH,bxndersnatch,Jan 12 2019,Ares already has Aprodite for that ,0.0,1.0,0.0,0.0
160,QUEEN OF DEATH,bxndersnatch,Jan 12 2019,Demeter and Persephone had a toxic relationship imo ,0.0,1.0,0.0,0.0
161,QUEEN OF DEATH,bxndersnatch,Jan 12 2019,Hades the only god to ever have one wife and actually love her ,0.0,0.636,0.364,0.743
