,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part
0,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA
1,333,150,10200,704,PRELUDE,PRELUDE,NA
2,676,425,10600,803,PROLOGUE,PROLOGUE,NA
3,56,30,6500,481,PART ONE,PART ONE,1
4,576,374,9000,686,ONE,1,1
5,478,329,7500,658,TWO,2,1
6,322,202,6600,629,THREE,3,1
7,404,290,6300,616,FOUR,4,1
8,386,260,6700,587,FIVE,5,1
9,371,245,6300,594,SIX,6,1
10,319,229,6800,572,SEVEN,7,1
11,111,84,6000,531,EIGHT,8,1
12,85,50,5800,458,NINE,9,1
13,374,237,5900,492,TEN,10,1
14,174,98,5700,432,ELEVEN,11,1
15,387,211,6100,517,TWELVE,12,1
16,210,134,4400,348,THIRTEEN,13,1
17,208,143,4500,358,FOURTEEN,14,1
18,17,9,3800,266,PART TWO,PART TWO,2
19,163,91,4400,296,FIFTEEN,15,2
20,273,138,4000,309,SIXTEEN,16,2
21,188,118,3900,306,SEVENTEEN,17,2
22,182,113,4100,296,EIGHTEEN,18,2
23,278,197,3600,266,NINETEEN,19,2
24,207,161,3400,254,TWENTY,20,2
25,239,179,2900,265,TWENTY ONE,21,2
26,171,143,3000,242,TWENTY TWO,22,2
27,165,117,2700,228,TWENTY THREE,23,2
28,118,83,2300,192,TWENTY FOUR,24,2
29,181,163,2500,211,TWENTY FIVE,25,2
30,167,99,2300,218,TWENTY SIX,26,2
31,104,86,2200,186,TWENTY SEVEN,27,2
32,295,198,2100,168,TWENTY EIGHT,28,2
33,238,184,2200,189,TWENTY NINE,29,2
34,142,107,1900,155,THIRTY,30,2
35,193,146,1900,180,THIRTY ONE,31,2
36,165,139,2000,199,THIRY TWO,2,2
37,116,71,1800,163,THIRTY THREE,33,2
38,106,82,1800,180,THIRTY FOUR,34,2
39,197,180,2200,164,THIRTY FIVE,35,2
40,161,115,1800,156,THIRTY SIX,36,2
41,110,84,1700,147,THIRTY SEVEN,37,2
42,163,122,1600,149,THIRTY EIGHT,38,2
43,151,102,1500,126,THIRTY NINE,39,2
44,66,49,1500,127,FORTY,40,2
45,10,6,1300,87,PART THREE,PART THREE,3
46,111,69,1300,127,FORTY ONE,41,3
47,196,148,1200,131,FORTY TWO,42,3
48,204,142,1200,112,FORTY THREE,43,3
49,158,103,1000,122,FORTY FOUR,44,3
50,92,73,1000,117,FORTY FIVE,45,3
51,93,77,1000,97,FORTY SIX,46,3
52,62,52,888,91,FORTY SEVEN,47,3
53,98,69,916,103,FORTY EIGHT,48,3
54,57,38,773,84,FORTY NINE,49,3
55,93,67,867,96,FIFTY,50,3
56,90,88,850,101,FIFTY ONE,51,3
57,110,95,754,101,FIFTY TWO,52,3
58,82,58,592,81,EPILOGUE,EPILOGUE,NA
59,10,4,437,60,POSTLUDE,POSTLUDE,NA
60,268,190,15100,425,FINAL NOTE,FINAL NOTE,NA
